t,mode,q1,q2,q3,q4,q5,q6,ee_x,ee_y,ee_z,des_x,des_y,des_z
1.5506,joint,0.042633,0.000000,0.000000,0.000000,0.000000,0.000000,1.998183,0.085240,0.000000,1.998183,0.085240,0.000000
1.5606,joint,0.043367,0.000000,0.000000,0.000000,0.000000,0.000000,1.998120,0.086707,0.000000,1.998120,0.086707,0.000000
1.5709,joint,0.044134,0.000000,0.000000,0.000000,0.000000,0.000000,1.998052,0.088240,0.000000,1.998052,0.088240,0.000000
1.5823,joint,0.044988,0.000000,0.000000,0.000000,0.000000,0.000000,1.997976,0.089946,0.000000,1.997976,0.089946,0.000000
1.5908,joint,0.045630,0.000000,0.000000,0.000000,0.000000,0.000000,1.997918,0.091229,0.000000,1.997918,0.091229,0.000000
1.6034,joint,0.046597,0.000000,0.000000,0.000000,0.000000,0.000000,1.997829,0.093161,0.000000,1.997829,0.093161,0.000000
1.6189,joint,0.047800,0.000000,0.000000,0.000000,0.000000,0.000000,1.997716,0.095563,0.000000,1.997716,0.095563,0.000000
1.6319,joint,0.048823,0.000000,0.000000,0.000000,0.000000,0.000000,1.997617,0.097606,0.000000,1.997617,0.097606,0.000000
1.6419,joint,0.049620,0.000000,0.000000,0.000000,0.000000,0.000000,1.997538,0.099200,0.000000,1.997538,0.099200,0.000000
1.6600,joint,0.051077,0.000000,0.000000,0.000000,0.000000,0.000000,1.997392,0.102109,0.000000,1.997392,0.102109,0.000000
1.6731,joint,0.052139,0.000000,0.000000,0.000000,0.000000,0.000000,1.997282,0.104231,0.000000,1.997282,0.104231,0.000000
1.6978,joint,0.054191,0.000000,0.000000,0.000000,0.000000,0.000000,1.997064,0.108329,0.000000,1.997064,0.108329,0.000000
1.7039,joint,0.054702,0.000000,0.000000,0.000000,0.000000,0.000000,1.997008,0.109349,0.000000,1.997008,0.109349,0.000000
1.7148,joint,0.055630,0.000000,0.000000,0.000000,0.000000,0.000000,1.996906,0.111202,0.000000,1.996906,0.111202,0.000000
1.7230,joint,0.056329,0.000000,0.000000,0.000000,0.000000,0.000000,1.996828,0.112599,0.000000,1.996828,0.112599,0.000000
1.7306,joint,0.056984,0.000000,0.000000,0.000000,0.000000,0.000000,1.996754,0.113907,0.000000,1.996754,0.113907,0.000000
1.7448,joint,0.058213,0.000000,0.000000,0.000000,0.000000,0.000000,1.996612,0.116360,0.000000,1.996612,0.116360,0.000000
1.7559,joint,0.059189,0.000000,0.000000,0.000000,0.000000,0.000000,1.996498,0.118309,0.000000,1.996498,0.118309,0.000000
1.7604,joint,0.059583,0.000000,0.000000,0.000000,0.000000,0.000000,1.996451,0.119096,0.000000,1.996451,0.119096,0.000000
1.7735,joint,0.060747,0.000000,0.000000,0.000000,0.000000,0.000000,1.996311,0.121418,0.000000,1.996311,0.121418,0.000000
1.7831,joint,0.061611,0.000000,0.000000,0.000000,0.000000,0.000000,1.996205,0.123144,0.000000,1.996205,0.123144,0.000000
1.7912,joint,0.062336,0.000000,0.000000,0.000000,0.000000,0.000000,1.996115,0.124592,0.000000,1.996115,0.124592,0.000000
1.8017,joint,0.063293,0.000000,0.000000,0.000000,0.000000,0.000000,1.995995,0.126501,0.000000,1.995995,0.126501,0.000000
